가수명,노래제목,발매일,가사,좋아요수,감정
스윗소로우 (SWEET SORROW),서울은 비,2015-10-15,오늘 따라 내리는 이 비는 좀처럼 그치질 않네요 혹시 그대 있는 곳에도 지금처럼 비가 내리진 않을까요 아주 멀리 있어도 변하는 건없을 거야 우리 서로 향해 있다면 언제까지나 함께일 거야 그대 말했죠 또 내게 말했죠 기도처럼 그대가 그리워지면 너무 보고프면 나는 이렇게 아픈데 그대는 괜찮은가요 아무 말 없는 그대가 나는 겁이 나 서울은 비가 와 외로운 내 맘에 돌아와 돌아와 이 비가 그쳐가 그대 고운 얼굴을 그려도 그려도 보이질 않아요 달라지게 된 하루만큼 멀어짐은 어쩔 수는 없는 건가요 아주 멀리 있어도 변하는 건없을 거야 우리서로 향해 있다면 언제까지나 함께일 거야 그랬잖아요 그랬었잖아요 그대 내게 그대가 그리워지면 너무 보고프면 나는 이렇게 아픈데그 대는 괜찮은가요 아무 말 없는 그대가 나는 겁이 나 서울은 비가 와 외로운 내 맘에 돌아와 돌아와 이 비가 그쳐가,3226,indifference
멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),2021-11-26,너를 위해 해줬었던 말들은 부담을 줬고 네가 내게 해줬던 위로에 나 상처 입었죠 사랑이란 모든 것 주는 거라 너는 말했고 난 서로의 삶을 지키자 했었죠 이번 문제만 넘어가면 전보다 더 나아질 거라 생각했는데 같은 곳을 맴돌고 있었죠 이제는 안될 것 같아 더 이상 힘들 것 같아 날 지워가며 사랑하는 게 좀 더 내게 맞는 사람 찾아 만나는 날 사랑해보려 노력할 것 같아 익숙해져만 가는 서로의 불편함 속에서 이별의 시간은 다가오고 있었죠 사랑하니까 괜찮다고 이 정도면 충분하다고 우린 이겨낼 수 있다고 믿고 있었던 건 내 욕심이었죠 이제는 안될 것 같아 더 이상 힘들 것 같아 날 지워가며 사랑하는 게 좀 더 내게 맞는 사람 찾아 만나는 날 사랑해보려 노력할 것 같아 내가 원하는 사람과 사랑에 빠지게 되는 날 그 날을 기다렸는데 이젠 내게 맞는 사람과 사랑하려 노력하는 게 조금 더 편할 것 같아 그게 덜 아플 것 같아 날 지켜가며 사랑하는 게 좀 더 편하게 지낼 수 있는 그런 사랑하게 되는 게 뜨겁게 사랑했던 날보다 이젠 내게 더 편할 것 같아 ,36203,indifference
김필,다시 사랑한다면 (니글니글 버터플라이),2016-02-21,다시 태어난다면 다시 사랑한다면 그때는 우리 이러지 말아요 조금 덜 만나고 조금 덜 기대하며 많은 약속 않기로 해요 다시 이별이 와도 서로 큰 아픔 없이 돌아설 수 있을 만큼 버려도 되는 가벼운 추억만 서로의 가슴에 만들기로 해요 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져 온다는 걸 그대여 빌게요 다음 번의 사랑은 우리 같지 않길 부디 아픔이 없이 나 꼭 나보다 더 행복해져야만 해 많은 시간이 흘러 서로 잊고 지내도 지난 날을 회상하며 그 때도 이건 사랑이었다고 말할 수 있다면 그걸로 된 거죠 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져 온다는 걸 그대여 빌게요 다음 번의 사랑은 우리 같지 않길 부디 아픔이 없이 이젠 알아요 영원할 줄 알았던 그대와의 사랑마저 날 속였다는 게 그보다 슬픈 건 나 없이 그대가 행복하게 지낼 먼 훗날의 모습 나 내 마음을 하늘만은 알기를 ,81524,indifference
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",2019-09-25,일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널 바라본다 옆자리 허전한 너의 풍경 흑백 거리 가운데 넌 뒤돌아본다 그때 알게 되었어 난 널 떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별보단 버틸 수 있는 것들이었죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다 아무 말 없는 대화 나누며 주마등이 길을 비춘 먼 곳을 본다 그때 알게 되었어 난 더 갈 수 없단 걸 한 발 한 발 이별에 가까워질수록 너와 맞잡은 손이 사라지는 것 같죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 ,386623,indifference
#안녕,너의 번호를 누르고 (Prod. 영화처럼),2019-11-30,우연히 너를 만나서 너의 옆자리에 앉아 그렇게 우린 친해졌어 짧은 시간에 그렇게 가까워질 수 있다는게 그게 참 신기했어 소소한 일상부터 어린 시절 얘기 까지도 그리 똑같진 않아도 말이 참 잘 통해서 더 짧았던 거야 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간속의 우린 여기 까지인 가봐 어쩌다 먼 훗날에 그때 우리 약속 기억 날까 아쉬움만 가득했던 그때 난 왜 그랬을까 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간속의 우린 여기까지인 가봐 아무일 없이 살다보면 모두 잊혀질거라 또 맘을 속이고 달래도 자꾸만 그 때 니가 생각나 또 너를 부르게 돼 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간속의 스쳐가버린 그 때 그 시절 속의 우린 여기까지인 가봐 ,109930,indifference
부활,Never Ending Story,2002-09-01,손 닿을 수 없는 저기 어딘가 오늘도 난 숨쉬고 있지만 너와 머물던 작은 의자 위에 같은 모습의 바람이 지나네... 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대 이기에 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대이기에... ,70543,indifference
손동운,Decrescendo,2019-04-22,내게 주던 사랑이갈수록 익숙해져 편하게 생각했나 봐날 떠나 가벼워진 사랑은 이제야 겨우 떠올라 날카로운 말들로 서로 맘을 할퀴다 깎여버린 네 마음은 끝까지 아물지도 못 한 채 상처란 조각이 됐나 봐사랑 이상의 감정을 너라고 부르던 시간이 끝나면 어떻게 말해야 할지 몰라 이별이라 부르기로 했어 Decrescendo 무한하게 커져가던 사랑도 이별이란 두 글자에 갇혀 방향을 잃고 점점 여려져 귓가에 울리던 우리 노래는 들리지 않을 만큼 작아져 가닮아 가는 모습에 거울을 보는 것 같아널 보는게 좋았는데 사실은 그렇게 반대로만 바라보고 있었던 거야 이별은 갑작스레 다녀가고 그 자리에 남은 건너의 마지막 선물이라 생각해 추억이라 부르기로 했어 Decrescendo 무한하게 커져가던 사랑도 이별이란 두 글자에 갇혀 방향을 잃고 점점 여려져 귓가에 울리던 우리 노래는 들리지 않을 만큼 작아져 가 Decrescendo 무한하게 커져가던 사랑도 이별이란 두 글자에 갇혀 방향을 잃고 점점 여려져 귓가에 울리던 우리 노래는 들리지 않을 만큼 작아져 가,3906,indifference
Chocolat.D (쇼콜라디),그날에 우리,2016-02-05,그날에 우리 예감했었지 끊어질 것 같은 우리의 사랑 차마 말하지 못했지 마지막 그 말 우리 그만 헤어져 말하지 못할 뿐 사실 우린 이미 알고 있잖아 이제는 끝이란 걸 알아 그 좋았던 우리의 추억도 여기에서 끝낼까 그날에 우리 이별을 했고 무뎌진 맘이 슬픔을 감추려 했지 우리의 사랑 서로를 달래며 뒤돌아 걷지 아무 일 없듯 우리 그날에 우리 말하지 못할 뿐 사실 우린 이미 알고 있잖아 이제는 끝이란 걸 알아 그 좋았던 우리의 추억도 여기에서 끝낼까 그날에 우리 이별을 했고 무뎌진 맘이 슬픔을 감추려 했지 우리의 사랑 서로를 달래며 뒤돌아 걷지 아무 일 없듯 우리 그날에 우리 이별을 했고 무뎌진 맘이 슬픔을 감추려 했지 우리의 사랑 서로를 달래며 뒤돌아 걷지 아무 일 없듯 우리 그날에 우리 ,61,indifference
이석훈,그대를 사랑하는 10가지 이유,2010-04-22, 그대 예쁜 목소리로 자장가를 불러줘요 오늘 밤도 그대 내 꿈 속에 나와 함께 살아요 아이같은 그 미소로 나를 보며 웃어주네요 나는 그대라서 참 행복합니다 내가 힘들때나 많이 아플때 내 눈물을 고이 닦아주던 그대란 사람 어찌 말을 해야 할까요 첫번째 그대의 마음 나무처럼 나를 쉬게해 두번째 그대의 미소 햇살처럼 나를 밝게 비추고 세번째 그대의 손길 내가 힘들때마다 품에 안아준 그댈 사랑합니다 내가 슬플 때나 외로워 할 때 내 곁을 따스히 지켜주던 그대란 사람 어찌 말을 해야 할까요 네번째 그대의 온도 내 가슴을 따스하게 해 다섯째 그대의 눈물 더 열심히 나를 살아가게 해 여섯째 그대의 기도 쳐진 어깨를 피게 만들어 주는 그댈 사랑합니다 그대여 더 이상 눈물은 이젠 흘리지 말아요 영원토록 그대를 지킬게요 사랑하는 그댈 보면 바라만 봐도 난 행복해 일곱번째 그대 표정 시무룩한 나를 웃게해 여덟째 그대 목소리 내게 힘을 주는 그대이니까 아홉번째 그대 걸음 못난 날 매일마다 찾아와 주네 열번짼 그대란 선물 그대라서 난 정말 행복합니다   ,91398,regret
싸이 (PSY),낙원 (Feat. 이재훈),2002-09-25, 너와 나 단 둘이서 떠나가는 여행 너를 향한 내 마음 절대 안 변해 보고 또 봐도 또 다시 나 반해 꿈만 같애 우리 둘이 함께 우린 서로 아무말도 없이 이렇다 할 행선지도 없이 빡빡한 저 세상 등지고 너와 내가 나침반과 지도 하지 못했었던 말 한땐 다시 안본다 했었나 허나 지금 우리 둘만 이 차속에 어느덧 훌쩍 지나버린 고개 비와 바람도 세상과 사람도 우릴 막지 말라 우린 지금 빨라 우릴 갈라 놨던 속세 탈출하는 찰라 우린 지금 아주 빨라 난 너와 같은 차를 타고 난 너와 같은 곳을 보고 난 너와 같이 같은 곳으로 그 곳은 천국 일거야 정신없이 달려온 곳 동해안 저 시원한 바다 소리가 곧 내맘 너 때문에 잠 못자고 꼬박 샌 밤 손발을 다 합쳐도 못 샌다 말이 필요없는 거야 같이 있는거야 이제서야 밝히지만 내 주인은 너야 기분 좋아 둘이 장도 봐 밥은 내가 할게 쌀만 담궈 놔 피곤한지 너는 잠깐 자고 그 사이 나는 몰래 요리책을 파고 드디어 오붓하게 저녁식사를 하고 여기가 바로 지상 낙원 비와 바람도 세상과 사람도 우릴 막지 말라 우린 이제 달라 나홀로 애태웠던 예전과는 달라 우린 이제 많이 달라 난 너와 같이 마주 하고 난 너와 같이 살아 숨쉬고 난 너와 같이 같은 곳에서 여기가 천국인거야 oh 너로 인해 힘들었던 나의 어제가 술안주로 변해버린 오늘이구나 내 여자구나 이제 안 보낸다 절대 안겨봐 내 품에 포근해 소중해 나중에 다시 돌아가더라도 오늘 하루 곱씹으며 행복하게 살어 나중에 다시 돌아가더라도 오늘 하루 곱씹으며 나를 잊지 말어 난 너와 같이 마주 하고 난 너와 같이 살아 숨쉬고 난 너와 같이 같은 곳에서 여기가 천국인거야 oh This is what my life is all about it is all about you  ,43494,regret
장재인,가로수 그늘 아래 서면,2010-10-26,라일락 꽃 향기 맡으면 잊을 수 없는 기억에 햇살 가득 눈부신 슬픔 안고 버스 창가에 기대 우네 가로수 그늘 아래 서면 떠가는 듯 그대 모습 어느 찬 비 흩날린 가을 오면 아침 찬 바람에 지우지 이렇게도 아름다운 세상 잊지 않으리 내가 사랑한 얘기 우 우우우 우 야위어 가는 가로수 그늘 밑 그 향기 더하는데 우 우우우 우 아름다운 세상 너는 알았지 내가 사랑한 모습 우 우우우 우 저 별이 지는 가로수 하늘 밑 그 향기 더하는데 가로수 그늘 아래 서면 떠가는 듯 그대 모습 어느 찬 비 흩날린 가을 오면 아침 찬 바람에 지우지 이렇게도 아름다운 세상 잊지 않으리 내가 사랑한 얘기 우 우우우 우 야위어 가는 가로수 그늘 밑 그 향기 더하는데 우 우우우 우 아름다운 세상 너는 알았지 내가 사랑한 모습 우 우우우 우 저 별이 지는 가로수 하늘 밑 그 향기 더하는데 우 우우우 우 저 별이 지는 가로수 하늘 밑 그 향기 더하는데 내가 사랑한 그대는 아아 ,17014,regret
린,오늘 밤 (Feat. 배치기),2013-04-26,오늘 밤 그대가 보고 싶은데 오늘 밤 그대랑 놀고 싶은데 요즘엔 지쳤어 많이 그저 가만히 멍하니 홀로 창 밖을 바라보다가 하루를 보내 이 뜻 모를 마가 더 길게 느껴져서 여기 내가 묶여 져서 그대를 그리다 못내 안지 못해 슬퍼져서 쉴 곳이 필요해 난 쉴 곳이 숨 쉴 곳이 필요해 숨 쉴 곳이 그대란 안식처에 머무는 그 청량감이 오늘 밤 내게로 다가와서 속삭여줘 하루가 너무 길어 종일 네 생각했지 빨리 날이 저물길 널 만날 생각만 했지 오늘은 말야 꼭 우리 함께 누워 놀고 싶어 이렇게 또 하루를 끝내고픈데 양손 가득히 먹고 마실 거릴 사들고 돌아가는 발걸음이 왜 이리 가벼운지 밤샘 수다와 내 얼굴 붉히다 은근스레 그대 품에 기대 잠든다  오늘 밤 그대의 매끈한 복근에 얼굴을 부비 부비고 오늘 밤 그대는 부드러운 내 다리를 스르륵 쓸어 올리고 우리 침대 위는 저 어린애들 놀이터처럼 그렇게 즐거우면 돼 오늘 밤 오늘 밤 그대 모습에 난 자꾸자꾸 열이 나고 그대와 오늘 밤 달이 비추면 사랑을 나누고 키스하죠 점점 다가와서 그대와 나 사이 어색한 시간은 건너 띄는 이 타이밍 달빛이 부르는 노래에 맞춰서 움직여줘 그대가 고픈 내가 들어갈 수 있게 Open 해줘 맘이 동했어 오늘 밤은 통했어 쭈뼛거릴 때가 어제인데 우린 변했어 언제 다시 느낄지 모를 순간이 지났지만 이젠 너와 나 비밀이 없는 사이가 오늘 밤 그대의 널따란 어깨를 와라락 끌어당기고 오늘 밤 그대는 찰랑한 내 마음을 천천히 어루만지고 우리 둘만 아는 비밀스러운 이야기처럼 그렇게 서롤 쓰면 돼 오늘 밤 오늘 밤 그대 모습에 난 자꾸자꾸 열이 나고 그대와 오늘 밤 달이 비추면 사랑을 나누고 키스하죠 열두 시 다가와 구두를 흘린 신데렐라도 이런 맘일까 너에게 홀린 나 오늘 보내주기 싫은데 오늘 밤 오늘 밤 그대 모습에 그대 모습에 난 자꾸자꾸 열이 나고 후끈후끈 열이 나고 그대와 오늘 밤 달이 비추면 달이 비추면 사랑을 나누고 키스하죠 키스해요 우리 오늘 밤 오늘 밤 그대 모습에 난 자꾸자꾸 열이 나고 그대와 오늘 밤 달이 비추면 사랑을 나누고 키스하죠 ,52698,regret
SG 워너비,라라라,2008-04-24, 그대는 참 아름다워요 밤 하늘의 별빛보다 빛나요 지친 나의 마음을 따뜻하게 감싸줄 그대 품이 나의 집이죠 세찬 바람 앞에서 꺼질듯한 내 사랑도 잘 참고서 이겨내줬어요 정말 눈물나도록 고마운 맘 아나요 그대 내곁에 살아줘서 사랑해요 사랑해요 내가 그대에게 부족한걸 알지만 세월을 걷다보면 지칠때도 있지만 그대의 쉴곳이 되리라 사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이노래 사랑 노래 함께 불러요 둘이서 라라라 그대 쳐진 어깨가 내맘을 아프게해요 잘 해준것도 없는 나라서 그대의 고운 손이 세월에 변했어요 못지켜줘서 미안해요 사랑해요 사랑해요 내가 그대에게 부족한걸 알지만 세월을 걷다보면 지칠때도 있지만 그대의 쉴곳이 되리라 사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이노래 사랑노래 함께 불러요 둘이서 라라라 고마워요 고마워요 그대 자신보다 나를 아껴준 사랑 세상이 등 돌려도 누가 뭐라고 해도 내가 그대 지켜줄게요 사랑해요 소중한 내사랑 평생 그대만을 위해 부를 이노래 사랑노래 함께 불러요 둘이서 라라라 그대 품이 나의 집이죠 영원히 라라라  ,90415,regret
김세정,꽃길 (Prod. By ZICO),2016-11-23, 세상이란 게 제법 춥네요 당신의 안에서 살던 때 보다 모자람 없이 주신 사랑이 과분하다 느낄 때쯤 난 어른이 됐죠 한 송이 꽃을 피우려 작은 두 눈에 얼마나 많은 비가 내렸을까 Oh rewind 돌이킬수록 더 미안 포기 안 하려 포기해버린 젊고 아름다운 당신의 계절 여길 봐 예쁘게 피었으니까 바닥에 떨어지더라도 꽃길만 걷게 해줄게요 문득 쳐다본 그 입가에는 미소가 폈지만 주름이 졌죠 내게 인생을 선물해주고 사랑해란 말이 그리도 고마운가요 한 송이 꽃을 피우려 작은 두 눈에 얼마나 많은 비가 내렸을까 oh rewind 돌이킬수록 더 미안 포기 안 하려 포기해버린 젊고 아름다운 당신의 계절 여길 봐 예쁘게 피었으니까 바닥에 떨어지더라도 꽃길만 걷게 해줄게요 겨울이 와도 마음속에 봄 향기가 가득한 건 한결같이 시들지 않는 사랑 때문이죠 oh rewind 짧은 바람 같던 시간 날 품에 안고 흔들림 없는 화분이 되어준 당신의 세월 여길 봐 행복만 남았으니까 다 내려놓고 이 손잡아요 꽃길만 걷게 해줄게요  ,180353,regret
더 크로스,백설공주를 사랑한 난장이,2005-06-15,dwarf love (dwarf love) umm - snow white - uh  그림 동화책 속엔 하얀 공주에게는 아무도 모르던 남친이 있었죠 등을 돌린 거울에 비뚤어진 왕비가 그를 난장이로 바꿔  깊은 산속 어딘가로 그를 쫓아내 버렸어요 여섯 난장이들은 그 날부터 일곱 난장이가 됐죠  50cm 밑 여기 내가 있잖소 겉은 줄었어도 마음만은 누구보다 크게 오오오- 사랑한다오 그대 사랑한다오 제발 딱 한번만 내 눈을 봐주오  그의 작은 외침도 애절하던 눈빛도 공주에게 와 닿지는 않았죠 숲속에 온 공주는 그에겐 단 한번도 눈길을 주지 않아  언젠가 그녀가 눈감던 날 키스를 위해 온 왕잘 보고 난장이는 엉엉 울고 말았죠 이제 그녀 떠날 테니까  50cm밑 여기 내가 있잖소 겉은 줄었어도 맘만은 누구보다 크게 오오오- 사랑한다오 그댈 사랑한다오 제발 딱 한번만 내 눈을 봐주오  왕자의 키스도 그녈 깨우지 못했어요 그녀의 마음속의 진정한 왕자는 난장이였으니까 워-  50cm밑 여기 내가 있잖소 겉은 줄었어도 마음만은 누구보다 크게 오오오 사랑한다오 그대 사랑한다오 제발 딱 한번만 내 눈을 봐주오 내 눈을 봐요 내 눈을 봐요 (오오오-) oh - baby yeah- (봐주오-) 사랑해요 사랑해요 (오오오-) uh- ,10975,regret
제이레빗(J Rabbit),Happy Things,2012-04-25,둥근 해가 뜨면 제일 먼저 기분 좋은 상상을 하지 하나 둘 셋 자리에 일어나 하마처럼 입을 쫙 하품을 한번 하고 두 눈을 크게 뜨고 번쩍 기지개를 한번 쭉 켜고 즐거운 상상을 맘껏 즐겨 잊지 말고 Happy Happy Things 상쾌한 바람이 부는 아침에 한껏 여유 부릴 때 유난히 안색이 좋아 뭘 입어도 다 잘어울리고 다 예뻐 보일 때 좋아하는 노랠 들으며 걸어갈 때 시간 맞춰 버스를 탈 때 유난히 사람이 많은 출근길 딱 내 앞에서 자리 났을 때 예상대로 일이 술술 풀려갈 때 이제부터 뭐든 내 멋대로 맘 먹을 때 아주 맛있는걸 먹었을 때 세상에나 힘도 안 줬는데 쾌변 오 보너스 휴가 떠날 때 사랑하는 그대도 함께 모두 상상만 해도 정말 기분 좋아 잊지 말고 Happy Happy Things 오랜만에 친구들을 만났을 때 괜히 기분이 좋아서 혼자 막 춤 출 때 아주 머리가 잘 돌아갈 때 말도 안돼 공부 안 했는데 백점 오 누군가 보고 싶을 때 그대가 내 맘 알아줄 때 모두 상상만 해도 정말 기분 좋은 Happy Happy Things 누구나 할 수 있는 일 행복한 삶을 원한다면 모두 상상만 해도 정말 기분 좋아 잊지 말고 Happy Happy Things ,69273,regret
펀치 (Punch),영화 속에 나오는 주인공처럼,2019-10-31, 영화 속에 나온 주인공처럼 예쁜 단장하고 있어요 창가에 가득 꽃들을 채우면서 그댈 맞이할게요 음 저기 들리는 그대 발자국 나를 깨우며 미소 짓게 해 오늘 하루도 난 주인공 되어 그대라는 멋진 사랑을 만나 Wish you Need you With you 지금 이 순간 나는 너무 행복해 이른 아침에 눈 뜨기 싫어도 그대 생각에 웃죠 오늘은 어떤 일들이 생겨날까 기대 기대하죠 음 결말이 없는 이야기처럼 끝나지 않을 나의 이야기 오늘 하루도 난 주인공 되어 그대라는 멋진 사랑을 만나 Wish you Need you With you 지금 이 순간 나는 너무 행복해 가끔 꿈인 것만 같아 나의 모든 이 순간들이 오늘 하루도 난 주인공 되어 그대라는 멋진 사랑을 만나 Wish you Need you With you 나는 이 순간 정말 너무 행복해 그댄 나를 꿈꾸게 만든 사람 그댄 나를 미소 짓게 한 사람 Wish you Need you With you 지금 이 순간 나는 너무 행복해  ,63905,regret
케이시 (Kassy),사랑이야,2022-07-22, 사랑해 수많은 밤이 지나도 환히 빛나는 저 별처럼 변하지 않을 내 사랑이야 사랑할 줄 알았어 널 처음 본 그날 운명인 것 같았어 너와 나 둘이서 조금씩 조금씩 아껴둔 내 마음을 조심스레 난 고백할래 사랑해 수많은 밤이 지나도 환히 빛나는 저 별처럼 변하지 않을 내 사랑이야 내 맘 받아주겠니 사랑해 사랑해 난 항상 너뿐이야 식지 않을 사랑이야 Always you are my love Love you forever 힘든 일이 있을 땐 같이 울어주고 지친 날엔 괜찮다 손 꼭 잡아주는 한걸음 한걸음 다가온 너란 행운 하루하루 매일 감사해 사랑해 수많은 밤이 지나도 환히 빛나는 저 별처럼 변하지 않을 내 사랑이야 내 맘 받아주겠니 사랑해 사랑해 난 항상 너뿐이야 식지 않을 사랑이야 넌 모를 거야 얼마나 내가 눈물 나도록 너를 사랑하는지 사랑해 수많은 날이 지나도 저기 뜨거운 태양처럼 변하지 않을 내 사랑이야 내 맘 모르겠니 약속해 시간이 흘러도 영원토록 식지 않을 사랑이야 Always you are my love Love you forever  ,12163,regret
박진영,대낮에 한 이별 (Feat. 선예 (Wonder Girls)),2007-11-16, 마지막 인사를 주고 받고 엉엉 울면서 서로를 한 번 꽉 안아 보고서 잘해준 게 하나도 없어 맘이 아프다며 서로의 눈물을 닦아 주었어 시간이 한참 지나고 나서 괜찮아지면 그때 친구로 다시 만나서 서로의 곁에 있어주잔 말을 남기고서 마지막으로 한 번 안아봤어 햇살이 밝아서 햇살이 아주 따뜻해서 눈물이 말랐어 생각보단 아주 빨리 죽을 것 같아서 정말 숨도 못 쉬었었어 근데 햇살이 밝아서 햇살이 밝아서 괜찮았어 헤어지기 직전에 그만 참지를 못하고 아주 바보 같은 질문을 했어 우리 혹시 헤어지지 않으면 안 되냐고 이제 얘기를 다 끝낸 후인데 그러자 너도 바보같이 대답을 못하고 멍하니 나만 바라보고 있어 우린 알고 있어서 너무 잘 알고 있어서 헤어지기가 너무 두려운 거야 햇살이 밝아서 햇살이 아주 따뜻해서 눈물이 말랐어 생각보단 아주 빨리 죽을 것 같아서 정말 숨도 못 셨었어 근데 햇살이 밝아서 햇살이 밝아서 괜찮았어 햇살이 밝아서 아픔을 잊을 수 있었어 햇살이 밝아서 눈물을 멈출 수 있었어 햇살이 밝아서 하늘이 너무 고마웠어 햇살이 밝아서 햇살이 밝아서 괜찮았어  ,49751,regret
아이유,러브레터,2021-12-29, 골목길 머뭇하던 첫 안녕을 기억하오 그날의 끄덕임을 난 잊을 수 없다오 길가에 내린 새벽 그 고요를 기억하오 그날의 다섯시를 난 잊을 수 없다오 반듯하게 내린 기다란 속눈썹 아래 몹시도 사랑히 적어둔 글씨들에 이따금 불러주던 형편없는 휘파람에 그 모든 나의 자리에 나 머물러 있다오  아끼던 연필로 그어놓은 밑줄 아래 우리 둘 나란히 적어둔 이름들에 무심한 걱정으로 묶어주던 신발끈에 그 모든 나의 자리에 나 머물러 있다오 좋아하던 봄 노래와 내리는 눈송이에도 어디보다 그대 안에 나 머물러 있다오 나 머물러 있다오 그대 울지 마시오 ,42594,regret
다비치,둘이서 떠나요,2022-05-16, 어디로 갈지 모르잖아요 그대 서둘러 내게 와 줘요 노을 진 밤하늘을 둘이서 보고 싶어요 지난날들 수 놓으며 미련 남았던 것은 내 맘에 내 맘에 주세요 그대의 고운 손에 사랑을 드릴게요 길 잃은 둘이서 떠나요 더 이상 헤매지 말아요 정처 없이 가는 곳이라도 같은 별을 보며 걸어가요 어디든 행복할 거예요 그대여 그대여 그대 내 맘에 와 줘요 두 눈을 잠시 감아 보아요 좀 더 조용히 그댈 느껴요 싸늘한 겨울에도 따스한 계절 같아요 그댄 내게 꽃이라서 다시 돌릴 수 없는 지나간 시간은 버리고 내 마음 한구석에 그대 자리로 와요 길 잃은 둘이서 떠나요 더 이상 헤매지 말아요 정처 없이 가는 곳이라도 같은 별을 보며 걸어가요 어디든 행복할 거예요 내게 와 줘요 무슨 짓을 해도 사랑스러 멈춰 있던 나를 숨을 쉬게 하는 그대여 내게 와요 살아갈 날이 더 많아요 우리가 함께할 모든 날 봄을 지나 여름 가을에도 추운 겨울바람 불어와도 언제나 행복할 거예요 그대여 그대여 그대 내 맘에 와 줘요  ,4886,regret
10CM,Perfect,2018-09-23, 어제는 아름답고 오늘은 지옥 같아 바늘처럼 따가운 빗물이 멈추지 않네 눈앞이 캄캄해져 볼 수 없고 숨도 못 쉰다더니 정말 그렇네 내가 널 괴롭혔지 나 땜에 짜증 났지 내 주제를 알았을 때쯤 영화는 끝났네 결말을 맞은 악역 배우처럼 나는 지워져 가고 너는 더욱더 빛났지 쓰잘데 없는 나를 제때 버리질 않았으니까 멀쩡한 너의 모든 게 엉망이 됐지 내가 없는 너는 이제야 모든 게 다 완벽해 내가 눈치가 빨랐다면 좀 나았을 텐데 넌 내가 불안하지 나 땜에 곤란했지 난 손에 닿은 모든 것들을 망가 뜨렸지 비참한 끝을 앞둔 괴물처럼 나를 물리쳐야만 지루한 이야기가 끝나지 쓰잘데 없는 나를 제때 버리질 않았으니까 멀쩡한 너의 모든 게 엉망이 됐지 내가 없는 너는 이제야 모든 게 다 완벽해 내가 눈치가 빨랐다면 좋았는데 너를 생각하는 이 밤이 더럽게 구차해서 유치한 말을 밤새워 중얼거렸지 내가 없는 너는 아무리 생각해도 완벽해 내가 눈치가 빨랐다면 좀 나았을 텐데 이제 너는 문제없는 평화로운 밤을 어제는 아름답고 오늘은 지옥 같아  ,77475,regret
